Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2018,5,Slovakia,SVK,,,6.7,,,14.6,,,6.1,,,,,83.4,91.4,75.6
2021,8,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,52,423,,,
2021,9,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,18,241,,,
2021,6,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,546,9758,,,
2021,7,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,200,1349,,,
2013,2,Lithuania,LTU,,,12.0,,,20.3,,,11.2,,,,,75.5,74.2,76.9
2013,1,Lithuania,LTU,,,12.4,,,21.6,,,11.6,,,,,75.5,74.2,76.9
2013,4,Lithuania,LTU,,,11.9,,,20.0,,,11.1,,,,,75.5,74.2,76.9
2013,3,Lithuania,LTU,,,11.8,,,19.8,,,11.1,,,,,75.5,74.2,76.9
2013,9,Lithuania,LTU,,,11.7,,,24.2,,,10.5,,,,,75.5,74.2,76.9
2013,6,Lithuania,LTU,,,11.6,,,21.8,,,10.7,,,,,75.5,74.2,76.9
2013,5,Lithuania,LTU,,,11.7,,,20.6,,,10.9,,,,,75.5,74.2,76.9
2013,8,Lithuania,LTU,,,11.8,,,24.3,,,10.6,,,,,75.5,74.2,76.9
2013,7,Lithuania,LTU,,,11.7,,,23.5,,,10.6,,,,,75.5,74.2,76.9
2015,1,Austria,AUT,,,5.9,,,9.0,,,5.4,,,,,86.9,87.4,86.4
2015,3,Austria,AUT,,,5.9,,,10.9,,,5.2,,,,,86.9,87.4,86.4
2015,2,Austria,AUT,,,6.0,,,10.4,,,5.3,,,,,86.9,87.4,86.4
2015,5,Austria,AUT,,,6.4,,,11.1,,,5.7,,,,,86.9,87.4,86.4
2015,4,Austria,AUT,,,6.3,,,11.6,,,5.5,,,,,86.9,87.4,86.4
2015,7,Austria,AUT,,,6.1,,,11.0,,,5.4,,,,,86.9,87.4,86.4
2015,6,Austria,AUT,,,6.1,,,10.8,,,5.4,,,,,86.9,87.4,86.4
2015,9,Austria,AUT,,,6.2,,,11.8,,,5.3,,,,,86.9,87.4,86.4
2015,8,Austria,AUT,,,6.0,,,11.4,,,5.3,,,,,86.9,87.4,86.4
2021,9,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,238,8855,,,
2020,12,Guatemala,GTM,America,1.7915567E7,,,,,,,,,,428,13867,,,
2021,1,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,854,18283,,,
2020,11,Guatemala,GTM,America,1.7915567E7,,,,,,,,,,445,14141,,,
2021,2,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,229,2541,,,
2020,10,Guatemala,GTM,America,1.7915567E7,,,,,,,,,,441,16280,,,
2008,4,Belgium,BEL,,,6.5,,,15.8,,,5.7,,,,,,,
2021,7,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,950,41840,,,
2008,3,Belgium,BEL,,,6.7,,,16.8,,,5.8,,,,,,,
2021,8,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,1487,36469,,,
2008,6,Belgium,BEL,,,6.9,,,15.8,,,5.9,,,,,,,
2021,9,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,429,6181,,,
2008,5,Belgium,BEL,,,6.5,,,15.8,,,5.6,,,,,,,
2008,8,Belgium,BEL,,,7.6,,,20.7,,,6.3,,,,,,,
2021,3,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,57,733,,,
2008,7,Belgium,BEL,,,7.5,,,20.7,,,6.2,,,,,,,
2021,4,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,37,1264,,,
2021,5,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,29,596,,,
2008,9,Belgium,BEL,,,7.4,,,20.7,,,6.1,,,,,,,
2021,6,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,86,3097,,,
2008,2,Belgium,BEL,,,6.9,,,16.8,,,5.9,,,,,,,
2008,1,Belgium,BEL,,,7.1,,,16.8,,,6.0,,,,,,,
2020,10,Japan,JPN,Asia,1.26476458E8,,,,,,,,,,236,13883,,,
2009,12,Switzerland,CHE,,,,,,,,,,,,,,86.7,85.6,88
2020,12,Japan,JPN,Asia,1.26476458E8,,,,,,,,,,345,44947,,,
2009,11,Switzerland,CHE,,,,,,,,,,,,,,86.7,85.6,88
2020,11,Japan,JPN,Asia,1.26476458E8,,,,,,,,,,175,16074,,,
2009,10,Switzerland,CHE,,,,,,,,,,,,,,86.7,85.6,88
2019,6,Luxembourg,LUX,,,5.7,,,17.5,,,4.7,,,,,89.4,89.7,89.1
2019,5,Luxembourg,LUX,,,5.7,,,17.1,,,4.7,,,,,89.4,89.7,89.1
2019,8,Luxembourg,LUX,,,5.7,,,17.4,,,4.7,,,,,89.4,89.7,89.1
2019,7,Luxembourg,LUX,,,5.7,,,17.9,,,4.7,,,,,89.4,89.7,89.1
2019,2,Luxembourg,LUX,,,5.4,,,15.8,,,4.5,,,,,89.4,89.7,89.1
2019,1,Luxembourg,LUX,,,5.2,,,14.1,,,4.4,,,,,89.4,89.7,89.1
2019,4,Luxembourg,LUX,,,5.7,,,17.3,,,4.6,,,,,89.4,89.7,89.1
2019,3,Luxembourg,LUX,,,5.6,,,16.6,,,4.6,,,,,89.4,89.7,89.1
2011,5,Germany,DEU,,,5.9,,,8.6,,,5.6,,,,,88.3,88.9,87.6
2011,4,Germany,DEU,,,6.0,,,8.7,,,5.6,,,,,88.3,88.9,87.6
2011,3,Germany,DEU,,,6.1,,,8.8,,,5.8,,,,,88.3,88.9,87.6
2011,2,Germany,DEU,,,6.2,,,8.9,,,5.9,,,,,88.3,88.9,87.6
2011,1,Germany,DEU,,,6.4,,,9.0,,,6.1,,,,,88.3,88.9,87.6
2019,9,Luxembourg,LUX,,,5.5,,,16.7,,,4.5,,,,,89.4,89.7,89.1
2021,4,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,4,1121,,,
2021,3,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,15,307,,,
2021,2,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,78,1210,,,
2021,1,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,343,5861,,,
2021,8,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,222,14876,,,
