Year,Month,Country,Recent_graduates_20-34_employment_rate_t,Recent_graduates_20-34_employment_rate_m,Recent_graduates_20-34_employment_rate_f
2019,10,GBR,85.4,85.3,85.5
2019,11,GBR,85.4,85.3,85.5
2019,12,GBR,85.4,85.3,85.5
2020,1,GBR,,,
2020,2,GBR,,,
2020,3,GBR,,,
2020,4,GBR,,,
2020,5,GBR,,,
2020,6,GBR,,,
2020,7,GBR,,,
2020,8,GBR,,,
2020,9,GBR,,,
2020,10,GBR,,,
2020,11,GBR,,,
2020,12,GBR,,,
2009,1,BEL,81,81.4,80.8
2009,2,BEL,81,81.4,80.8
2009,3,BEL,81,81.4,80.8
2009,4,BEL,81,81.4,80.8
2009,5,BEL,81,81.4,80.8
2009,6,BEL,81,81.4,80.8
2009,7,BEL,81,81.4,80.8
2009,8,BEL,81,81.4,80.8
2009,9,BEL,81,81.4,80.8
2009,10,BEL,81,81.4,80.8
2009,11,BEL,81,81.4,80.8
2009,12,BEL,81,81.4,80.8
2010,1,BEL,81.3,82.2,80.6
2010,2,BEL,81.3,82.2,80.6
2010,3,BEL,81.3,82.2,80.6
2010,4,BEL,81.3,82.2,80.6
2010,5,BEL,81.3,82.2,80.6
2010,6,BEL,81.3,82.2,80.6
2010,7,BEL,81.3,82.2,80.6
2010,8,BEL,81.3,82.2,80.6
2010,9,BEL,81.3,82.2,80.6
2010,10,BEL,81.3,82.2,80.6
2010,11,BEL,81.3,82.2,80.6
2010,12,BEL,81.3,82.2,80.6
2011,1,BEL,80.8,80.2,81.4
2011,2,BEL,80.8,80.2,81.4
2011,3,BEL,80.8,80.2,81.4
2011,4,BEL,80.8,80.2,81.4
2011,5,BEL,80.8,80.2,81.4
2011,6,BEL,80.8,80.2,81.4
2011,7,BEL,80.8,80.2,81.4
2011,8,BEL,80.8,80.2,81.4
2011,9,BEL,80.8,80.2,81.4
2011,10,BEL,80.8,80.2,81.4
2011,11,BEL,80.8,80.2,81.4
2011,12,BEL,80.8,80.2,81.4
2012,1,BEL,80.9,82.1,79.7
2012,2,BEL,80.9,82.1,79.7
2012,3,BEL,80.9,82.1,79.7
2012,4,BEL,80.9,82.1,79.7
2012,5,BEL,80.9,82.1,79.7
2012,6,BEL,80.9,82.1,79.7
2012,7,BEL,80.9,82.1,79.7
2012,8,BEL,80.9,82.1,79.7
2012,9,BEL,80.9,82.1,79.7
2012,10,BEL,80.9,82.1,79.7
2012,11,BEL,80.9,82.1,79.7
2012,12,BEL,80.9,82.1,79.7
2013,1,BEL,79.1,79,79.1
2013,2,BEL,79.1,79,79.1
2013,3,BEL,79.1,79,79.1
2013,4,BEL,79.1,79,79.1
2013,5,BEL,79.1,79,79.1
2013,6,BEL,79.1,79,79.1
2013,7,BEL,79.1,79,79.1
2013,8,BEL,79.1,79,79.1
2013,9,BEL,79.1,79,79.1
2013,10,BEL,79.1,79,79.1
2013,11,BEL,79.1,79,79.1
2013,12,BEL,79.1,79,79.1
2014,1,BEL,79.0,77.6,80.2
2014,2,BEL,79.0,77.6,80.2
2014,3,BEL,79.0,77.6,80.2
2014,4,BEL,79.0,77.6,80.2
2014,5,BEL,79.0,77.6,80.2
2014,6,BEL,79.0,77.6,80.2
2014,7,BEL,79.0,77.6,80.2
2014,8,BEL,79.0,77.6,80.2
2014,9,BEL,79.0,77.6,80.2
2014,10,BEL,79.0,77.6,80.2
2014,11,BEL,79.0,77.6,80.2
2014,12,BEL,79.0,77.6,80.2
2015,1,BEL,79.5,78,80.9
2015,2,BEL,79.5,78,80.9
2015,3,BEL,79.5,78,80.9
2015,4,BEL,79.5,78,80.9
2015,5,BEL,79.5,78,80.9
2015,6,BEL,79.5,78,80.9
2015,7,BEL,79.5,78,80.9
2015,8,BEL,79.5,78,80.9
2015,9,BEL,79.5,78,80.9
2015,10,BEL,79.5,78,80.9
2015,11,BEL,79.5,78,80.9
2015,12,BEL,79.5,78,80.9
2016,1,BEL,81.2,80.2,82.2
2016,2,BEL,81.2,80.2,82.2
2016,3,BEL,81.2,80.2,82.2
2016,4,BEL,81.2,80.2,82.2
2016,5,BEL,81.2,80.2,82.2
2016,6,BEL,81.2,80.2,82.2
2016,7,BEL,81.2,80.2,82.2
2016,8,BEL,81.2,80.2,82.2
2016,9,BEL,81.2,80.2,82.2
2016,10,BEL,81.2,80.2,82.2
2016,11,BEL,81.2,80.2,82.2
2016,12,BEL,81.2,80.2,82.2
2017,1,BEL,81.9,81.3,82.5
2017,2,BEL,81.9,81.3,82.5
2017,3,BEL,81.9,81.3,82.5
2017,4,BEL,81.9,81.3,82.5
2017,5,BEL,81.9,81.3,82.5
2017,6,BEL,81.9,81.3,82.5
2017,7,BEL,81.9,81.3,82.5
2017,8,BEL,81.9,81.3,82.5
2017,9,BEL,81.9,81.3,82.5
2017,10,BEL,81.9,81.3,82.5
2017,11,BEL,81.9,81.3,82.5
2017,12,BEL,81.9,81.3,82.5
2018,1,BEL,83.4,82.6,84.2
2018,2,BEL,83.4,82.6,84.2
2018,3,BEL,83.4,82.6,84.2
2018,4,BEL,83.4,82.6,84.2
2018,5,BEL,83.4,82.6,84.2
2018,6,BEL,83.4,82.6,84.2
2018,7,BEL,83.4,82.6,84.2
2018,8,BEL,83.4,82.6,84.2
2018,9,BEL,83.4,82.6,84.2
2018,10,BEL,83.4,82.6,84.2
2018,11,BEL,83.4,82.6,84.2
2018,12,BEL,83.4,82.6,84.2
2019,1,BEL,83.5,83.1,84
2019,2,BEL,83.5,83.1,84
2019,3,BEL,83.5,83.1,84
2019,4,BEL,83.5,83.1,84
2019,5,BEL,83.5,83.1,84
2019,6,BEL,83.5,83.1,84
2019,7,BEL,83.5,83.1,84
2019,8,BEL,83.5,83.1,84
2019,9,BEL,83.5,83.1,84
2019,10,BEL,83.5,83.1,84
2019,11,BEL,83.5,83.1,84
2019,12,BEL,83.5,83.1,84
2020,1,BEL,82.9,84.1,81.6
