Year,Mounth,Country,Unemp_total,Unemp_25_74,Unemp_15_24,Unemp_men,Unemp_women,Unemp_15_24_men,Unemp_15_24_women,Unemp_25_74_men,Unemp_25_74_women
2006,03,LVA,7.9,6.8,15.1,,,,,,
2006,03,LTU,6.2,5.8,10.5,,,,,,
2006,03,SVN,6.4,5.2,16.1,,,,,,
2006,04,AUT,5.7,4.9,10.4,,,,,,
2006,04,BEL,8.7,7.5,20.7,,,,,,
2006,04,FIN,7.7,6.0,19.9,,,,,,
2006,04,FRA,9.0,7.3,23.8,,,,,,
2006,04,DEU,10.3,9.9,13.8,,,,,,
2006,04,GRC,9.1,7.6,25.1,,,,,,
2006,04,IRL,4.7,3.7,9.1,,,,,,
2006,04,ITA,7.1,5.7,22.6,,,,,,
2006,04,LUX,4.6,3.7,15.1,,,,,,
2006,04,NLD,5.2,4.3,10.1,,,,,,
2006,04,PRT,9.1,7.6,21.0,,,,,,
2006,04,SVK,14.0,12.2,28.2,,,,,,
2006,04,ESP,8.6,7.3,18.4,,,,,,
2006,04,GBR,5.416463,3.804166,14.1326,,,,,,
2006,04,USA,4.7,3.752069,10.3,,,,,,
2006,04,EST,6.0,5.3,12.9,,,,,,
2006,04,LVA,7.3,5.8,18.2,,,,,,
2006,04,LTU,5.9,5.5,10.4,,,,,,
2006,04,SVN,6.3,5.1,15.8,,,,,,
2006,05,AUT,5.4,4.8,9.0,,,,,,
2006,05,BEL,8.8,7.5,20.7,,,,,,
2006,05,FIN,7.9,6.3,19.4,,,,,,
2006,05,FRA,8.9,7.2,23.6,,,,,,
2006,05,DEU,10.2,9.7,13.7,,,,,,
2006,05,GRC,9.2,7.7,24.6,,,,,,
2006,05,IRL,4.7,3.7,9.0,,,,,,
2006,05,ITA,7.1,5.7,23.2,,,,,,
2006,05,LUX,4.5,3.7,15.2,,,,,,
2006,05,NLD,5.2,4.3,10.0,,,,,,
2006,05,PRT,9.1,7.7,20.8,,,,,,
2006,05,SVK,13.7,11.9,27.5,,,,,,
2006,05,ESP,8.5,7.2,18.2,,,,,,
2006,05,GBR,5.472024,3.838255,14.29386,,,,,,
2006,05,USA,4.6,3.687363,10.0,,,,,,
2006,05,EST,6.4,5.7,12.3,,,,,,
2006,05,LVA,6.9,5.3,18.4,,,,,,
2006,05,LTU,5.8,5.4,10.3,,,,,,
2006,05,SVN,6.2,5.0,15.8,,,,,,
2006,06,AUT,6.0,5.1,11.4,,,,,,
2006,06,BEL,8.5,7.3,20.7,,,,,,
2006,06,FIN,7.7,6.1,19.4,,,,,,
2006,06,FRA,8.9,7.2,23.6,,,,,,
2006,06,DEU,10.1,9.6,13.6,,,,,,
2006,06,GRC,9.1,7.6,25.5,,,,,,
2006,06,IRL,4.8,3.8,9.0,,,,,,
2006,06,ITA,6.7,5.7,20.8,,,,,,
2006,06,LUX,4.5,3.7,15.1,,,,,,
2006,06,NLD,5.0,4.1,9.7,,,,,,
2006,06,PRT,9.1,7.7,20.5,,,,,,
2006,06,SVK,13.4,11.6,27.2,,,,,,
2006,06,ESP,8.4,7.2,17.8,,,,,,
2006,06,GBR,5.50575,3.844093,14.47135,,,,,,
2006,06,USA,4.6,3.618345,10.4,,,,,,
2006,06,EST,6.2,5.4,12.6,,,,,,
2006,06,LVA,6.6,5.2,16.3,,,,,,
2006,06,LTU,5.8,5.4,10.4,,,,,,
2006,06,SVN,6.0,5.0,15.8,,,,,,
2006,07,AUT,5.5,4.8,9.5,,,,,,
2006,07,BEL,8.0,6.8,20.7,,,,,,
2006,07,FIN,7.6,6.2,17.4,,,,,,
2006,07,FRA,8.9,7.2,23.4,,,,,,
2006,07,DEU,10.0,9.5,13.6,,,,,,
2006,07,GRC,8.7,7.3,23.8,,,,,,
2006,07,IRL,5.0,4.0,9.0,,,,,,
2006,07,ITA,6.6,5.5,20.6,,,,,,
2006,07,LUX,4.5,3.7,15.4,,,,,,
2006,07,NLD,4.9,4.1,9.6,,,,,,
2006,07,PRT,9.2,7.8,21.0,,,,,,
2006,07,SVK,13.3,11.5,27.1,,,,,,
2006,07,ESP,8.3,7.2,17.4,,,,,,
2006,07,GBR,5.466978,3.858134,14.11491,,,,,,
2006,07,USA,4.7,3.677634,10.9,,,,,,
2006,07,EST,6.0,5.3,11.9,,,,,,
2006,07,LVA,6.4,5.6,11.7,,,,,,
2006,07,LTU,5.9,5.4,10.5,,,,,,
2006,07,SVN,5.9,5.1,11.9,,,,,,
2006,08,AUT,5.3,4.4,10.4,,,,,,
2006,08,BEL,7.8,6.5,20.7,,,,,,
2006,08,FIN,7.7,6.1,19.1,,,,,,
2006,08,FRA,8.9,7.2,23.5,,,,,,
2006,08,DEU,9.9,9.4,13.5,,,,,,
2006,08,GRC,8.8,7.2,25.0,,,,,,
2006,08,IRL,5.1,4.1,9.0,,,,,,
2006,08,ITA,6.7,5.5,20.8,,,,,,
2006,08,LUX,4.5,3.7,16.2,,,,,,
2006,08,NLD,4.8,3.9,9.6,,,,,,
2006,08,PRT,9.2,7.7,21.8,,,,,,
2006,08,SVK,13.1,11.3,26.8,,,,,,
2006,08,ESP,8.3,7.2,17.5,,,,,,
2006,08,GBR,5.484363,3.844006,14.30867,,,,,,
2006,08,USA,4.7,3.621073,10.7,,,,,,
2006,08,EST,5.8,5.0,12.2,,,,,,
2006,08,LVA,6.3,5.8,9.5,,,,,,
2006,08,LTU,5.8,5.4,10.3,,,,,,
2006,08,SVN,5.7,5.0,11.9,,,,,,
2006,09,AUT,5.1,4.2,11.1,,,,,,
2006,09,BEL,7.9,6.6,20.7,,,,,,
2006,09,FIN,7.6,6.1,18.3,,,,,,
2006,09,FRA,8.7,7.0,23.2,,,,,,
2006,09,DEU,9.8,9.4,13.4,,,,,,
2006,09,GRC,8.9,7.5,25.1,,,,,,
2006,09,IRL,4.9,4.0,8.6,,,,,,
2006,09,ITA,6.7,5.5,21.2,,,,,,
2006,09,LUX,4.7,3.8,16.2,,,,,,
2006,09,NLD,4.8,3.9,9.7,,,,,,
2006,09,PRT,9.6,8.0,22.6,,,,,,
2006,09,SVK,12.8,11.2,25.7,,,,,,
2006,09,ESP,8.2,7.1,17.3,,,,,,
2006,09,GBR,5.476115,3.872315,14.12693,,,,,,
2006,09,USA,4.5,3.46331,10.6,,,,,,
2006,09,EST,5.6,5.0,11.5,,,,,,
2006,09,LVA,6.4,5.9,9.6,,,,,,
2006,09,LTU,5.6,5.2,9.6,,,,,,
2006,09,SVN,5.6,5.0,11.9,,,,,,
2006,10,AUT,5.3,4.4,10.6,,,,,,
2006,10,BEL,7.9,6.6,19.9,,,,,,
2006,10,FIN,7.7,6.1,19.0,,,,,,
2006,10,FRA,8.5,6.8,23.0,,,,,,
2006,10,DEU,9.7,9.3,13.2,,,,,,
2006,10,GRC,8.3,7.0,23.5,,,,,,
2006,10,IRL,4.7,3.8,8.1,,,,,,
2006,10,ITA,6.7,5.3,20.9,,,,,,
2006,10,LUX,4.6,3.8,16.0,,,,,,
2006,10,NLD,4.7,3.9,9.5,,,,,,
2006,10,PRT,9.7,8.2,22.9,,,,,,
2006,10,SVK,12.6,11.1,24.7,,,,,,
2006,10,ESP,8.2,7.0,17.7,,,,,,
2006,10,GBR,5.419935,3.868035,13.82222,,,,,,
2006,10,USA,4.4,3.35427,10.6,,,,,,
2006,10,EST,5.8,5.2,11.8,,,,,,
2006,10,LVA,6.5,5.7,11.8,,,,,,
2006,10,LTU,5.3,4.9,8.6,,,,,,
2006,10,SVN,5.5,4.9,11.2,,,,,,
2006,11,AUT,5.3,4.6,9.5,,,,,,
2006,11,BEL,8.0,6.7,19.9,,,,,,
2006,11,FIN,7.3,5.8,17.8,,,,,,
2006,11,FRA,8.4,6.7,22.8,,,,,,
2006,11,DEU,9.6,9.1,13.0,,,,,,
2006,11,GRC,8.9,7.3,26.7,,,,,,
2006,11,IRL,4.6,3.8,7.9,,,,,,
2006,11,ITA,6.6,5.3,21.7,,,,,,
2006,11,LUX,4.6,3.8,16.0,,,,,,
2006,11,NLD,4.7,3.8,9.4,,,,,,
2006,11,PRT,9.7,8.2,22.3,,,,,,
2006,11,SVK,12.4,11.0,23.8,,,,,,
2006,11,ESP,8.3,7.1,17.9,,,,,,
2006,11,GBR,5.50116,3.891958,14.14709,,,,,,
2006,11,USA,4.5,3.456294,10.6,,,,,,
2006,11,EST,5.4,4.7,11.7,,,,,,
2006,11,LVA,6.5,5.6,12.7,,,,,,
2006,11,LTU,5.0,4.7,8.2,,,,,,
2006,11,SVN,5.5,4.8,11.2,,,,,,
2006,12,AUT,5.4,4.8,8.9,,,,,,
2006,12,BEL,7.9,6.7,19.9,,,,,,
2006,12,FIN,7.1,5.9,16.0,,,,,,
2006,12,FRA,8.4,6.8,22.6,,,,,,
2006,12,DEU,9.4,9.0,12.8,,,,,,
2006,12,GRC,9.1,7.6,26.8,,,,,,
2006,12,IRL,4.7,3.8,8.1,,,,,,
2006,12,ITA,6.2,5.3,20.1,,,,,,
2006,12,LUX,4.6,3.7,16.1,,,,,,
2006,12,NLD,4.6,3.7,9.5,,,,,,
2006,12,PRT,9.6,8.1,22.4,,,,,,
2006,12,SVK,12.1,10.7,22.9,,,,,,
2006,12,ESP,8.3,7.1,17.7,,,,,,
2006,12,GBR,5.510167,3.885018,14.26985,,,,,,
2006,12,USA,4.4,3.455881,10.0,,,,,,
2006,12,EST,5.1,4.4,11.5,,,,,,
2006,12,LVA,6.7,5.7,13.1,,,,,,
2006,12,LTU,5.0,4.7,8.3,,,,,,
2006,12,SVN,5.4,4.8,11.2,,,,,,
2007,01,AUT,5.2,4.6,8.8,,,,,,
2007,01,BEL,7.8,6.7,19.1,,,,,,
2007,01,FIN,7.2,5.6,18.0,,,,,,
2007,01,FRA,8.5,6.9,22.5,,,,,,
2007,01,DEU,9.2,8.8,12.5,,,,,,
2007,01,GRC,8.5,7.2,23.5,,,,,,
2007,01,IRL,4.8,3.9,8.6,,,,,,
2007,01,ITA,6.3,5.0,21.6,,,,,,
2007,01,LUX,4.5,3.6,15.8,,,,,,
2007,01,NLD,4.5,3.6,9.5,,,,,,
2007,01,PRT,9.7,8.2,22.3,,,,,,
2007,01,SVK,11.7,10.4,22.0,,,,,,
2007,01,ESP,8.3,7.1,17.5,,,,,,
2007,01,GBR,5.529642,3.862466,14.50637,,,,,,
2007,01,USA,4.6,3.67215,10.3,,,,,,
2007,01,EST,5.0,4.3,10.9,,,,,,
2007,01,LVA,6.8,6.0,12.1,,,,,,
2007,01,LTU,4.3,3.9,8.9,,,,,,
2007,01,SVN,5.4,4.8,10.2,,,,,,
2007,02,AUT,5.5,4.7,9.6,,,,,,
2007,02,BEL,7.8,6.7,19.1,,,,,,
2007,02,FIN,7.2,5.7,17.7,,,,,,
2007,02,FRA,8.5,6.9,22.4,,,,,,
2007,02,DEU,9.0,8.6,12.3,,,,,,
2007,02,GRC,8.8,7.3,24.9,,,,,,
2007,02,IRL,4.9,3.9,8.9,,,,,,
2007,02,ITA,6.1,5.0,19.5,,,,,,
2007,02,LUX,4.4,3.6,15.8,,,,,,
2007,02,NLD,4.5,3.5,9.7,,,,,,
2007,02,PRT,9.8,8.2,22.5,,,,,,
2007,02,SVK,11.4,10.2,21.2,,,,,,
2007,02,ESP,8.2,7.0,17.2,,,,,,
2007,02,GBR,5.513793,3.843524,14.5112,,,,,,
2007,02,USA,4.5,3.601499,9.9,,,,,,
2007,02,EST,4.9,4.2,11.2,,,,,,
2007,02,LVA,6.8,6.1,11.5,,,,,,
2007,02,LTU,4.4,4.0,9.3,,,,,,
2007,02,SVN,5.3,4.7,10.2,,,,,,
2007,03,AUT,5.1,4.3,9.9,,,,,,
2007,03,BEL,7.9,6.7,19.1,,,,,,
2007,03,FIN,7.1,5.4,18.8,,,,,,
2007,03,FRA,8.4,6.8,22.1,,,,,,
2007,03,DEU,8.9,8.4,12.0,,,,,,
2007,03,GRC,9.0,7.7,25.0,,,,,,
2007,03,IRL,5.0,3.9,9.2,,,,,,
2007,03,ITA,6.1,5.0,19.9,,,,,,
2007,03,LUX,4.3,3.5,15.8,,,,,,
2007,03,NLD,4.3,3.3,9.4,,,,,,
2007,03,PRT,9.7,8.2,22.3,,,,,,
2007,03,SVK,11.2,10.1,20.4,,,,,,
2007,03,ESP,8.1,6.9,17.3,,,,,,
2007,03,GBR,5.472364,3.781422,14.60262,,,,,,
2007,03,USA,4.4,3.44524,10.0,,,,,,
2007,03,EST,5.1,4.4,10.7,,,,,,
2007,03,LVA,6.6,6.0,10.8,,,,,,
2007,03,LTU,4.4,4.0,9.1,,,,,,
2007,03,SVN,5.1,4.6,10.2,,,,,,
2007,04,AUT,5.6,4.7,10.8,,,,,,
2007,04,BEL,8.2,6.8,21.1,,,,,,
2007,04,FIN,6.5,5.2,15.9,,,,,,
2007,04,FRA,8.2,6.7,21.7,,,,,,
2007,04,DEU,8.7,8.3,11.9,,,,,,
2007,04,GRC,8.5,7.4,21.1,,,,,,
2007,04,IRL,5.0,3.9,9.4,,,,,,
2007,04,ITA,5.9,4.9,19.7,,,,,,
2007,04,LUX,4.2,3.4,15.7,,,,,,
2007,04,NLD,4.2,3.2,9.2,,,,,,
2007,04,PRT,9.9,8.4,22.0,,,,,,
2007,04,SVK,11.3,10.1,20.2,,,,,,
2007,04,ESP,8.0,6.8,17.9,,,,,,
2007,04,GBR,5.389203,3.667212,14.72367,,,,,,
2007,04,USA,4.5,3.504531,10.3,,,,,,
2007,04,EST,4.9,4.2,10.6,,,,,,
2007,04,LVA,6.3,5.6,10.5,,,,,,
2007,04,LTU,4.4,4.0,8.3,,,,,,
2007,04,SVN,4.9,4.5,9.0,,,,,,
2007,05,AUT,5.6,4.6,11.6,,,,,,
2007,05,BEL,8.1,6.7,21.1,,,,,,
2007,05,FIN,6.6,5.4,14.8,,,,,,
2007,05,FRA,8.1,6.6,21.4,,,,,,
2007,05,DEU,8.6,8.2,11.7,,,,,,
2007,05,GRC,8.4,7.0,23.9,,,,,,
2007,05,IRL,5.0,3.9,9.4,,,,,,
